stratification,compact_domain,n,generated,observed_shift,lower_bound,refused_eligible_added,upper_bound,bound_width,baseline_non_target_eligible,attacker_family,defender_family,gate_iv_arm
domain,business_organizations,560,148,119,0.2125,399,0.925,0.7125,538,,,
domain,digital_information_systems,728,84,45,0.061813186813186816,643,0.945054945054945,0.8832417582417582,727,,,
domain,finance_markets,336,51,38,0.1130952380952381,285,0.9613095238095238,0.8482142857142857,336,,,
domain,governance_law_history,336,85,70,0.20833333333333334,241,0.9255952380952381,0.7172619047619048,322,,,
domain,health_biomedicine,560,69,44,0.07857142857142857,490,0.9535714285714286,0.875,558,,,
domain,physical_infrastructure_environment,448,69,52,0.11607142857142858,379,0.9620535714285714,0.8459821428571429,448,,,
attacker_family,,371,11,9,0.02425876010781671,356,0.9838274932614556,0.9595687331536388,367,deepseekr1qwen8b,,
attacker_family,,371,55,47,0.12668463611859837,314,0.9730458221024259,0.8463611859838275,368,glm46,,
attacker_family,,371,15,11,0.029649595687331536,353,0.9811320754716981,0.9514824797843666,365,gptoss120b,,
attacker_family,,371,14,13,0.03504043126684636,353,0.9865229110512129,0.9514824797843666,367,gptoss20b,,
attacker_family,,371,33,30,0.08086253369272237,334,0.9811320754716981,0.9002695417789758,365,kimik2,,
attacker_family,,371,119,76,0.20485175202156333,252,0.8840970350404312,0.6792452830188679,369,mistralsmall32,,
attacker_family,,371,154,104,0.2803234501347709,214,0.8571428571428571,0.5768194070080862,365,qwen32b,,
attacker_family,,371,105,78,0.21024258760107817,261,0.9137466307277629,0.7035040431266847,363,qwen8b,,
defender_family,,371,64,59,0.15902964959568733,302,0.9730458221024259,0.8140161725067385,362,,deepseekr1qwen8b,
defender_family,,371,66,59,0.15902964959568733,304,0.9784366576819407,0.8194070080862533,370,,glm46,
defender_family,,371,81,28,0.07547169811320754,289,0.8544474393530997,0.7789757412398922,368,,gptoss120b,
defender_family,,371,67,40,0.1078167115902965,304,0.9272237196765498,0.8194070080862533,368,,gptoss20b,
defender_family,,371,67,37,0.09973045822102426,304,0.9191374663072777,0.8194070080862533,371,,kimik2,
defender_family,,371,52,46,0.12398921832884097,301,0.9353099730458221,0.8113207547169812,348,,mistralsmall32,
defender_family,,371,45,38,0.10242587601078167,326,0.9811320754716981,0.8787061994609164,371,,qwen32b,
defender_family,,371,64,61,0.16442048517520216,307,0.9919137466307277,0.8274932614555256,371,,qwen8b,
gate_arm,,1013,0,0,0.0,1000,0.9871668311944719,0.9871668311944719,1000,,,safety_policy_gate
gate_arm,,962,52,40,0.04158004158004158,898,0.975051975051975,0.9334719334719335,949,,,safety_short_gate
gate_arm,,993,454,328,0.33031218529707956,539,0.8731117824773413,0.5427995971802618,980,,,standard_gate
gate_arm_by_domain,business_organizations,189,0,0,0.0,182,0.9629629629629629,0.9629629629629629,182,,,safety_policy_gate
gate_arm_by_domain,digital_information_systems,249,0,0,0.0,249,1.0,1.0,249,,,safety_policy_gate
gate_arm_by_domain,finance_markets,136,0,0,0.0,136,1.0,1.0,136,,,safety_policy_gate
gate_arm_by_domain,governance_law_history,116,0,0,0.0,111,0.9568965517241379,0.9568965517241379,111,,,safety_policy_gate
gate_arm_by_domain,health_biomedicine,184,0,0,0.0,183,0.9945652173913043,0.9945652173913043,183,,,safety_policy_gate
gate_arm_by_domain,physical_infrastructure_environment,139,0,0,0.0,139,1.0,1.0,139,,,safety_policy_gate
gate_arm_by_domain,business_organizations,174,11,9,0.05172413793103448,157,0.9540229885057471,0.9022988505747126,167,,,safety_short_gate
gate_arm_by_domain,digital_information_systems,244,6,3,0.012295081967213115,237,0.9836065573770492,0.9713114754098361,243,,,safety_short_gate
gate_arm_by_domain,finance_markets,92,7,4,0.043478260869565216,85,0.967391304347826,0.9239130434782609,92,,,safety_short_gate
gate_arm_by_domain,governance_law_history,116,26,22,0.1896551724137931,85,0.9224137931034483,0.7327586206896551,111,,,safety_short_gate
gate_arm_by_domain,health_biomedicine,186,2,2,0.010752688172043012,184,1.0,0.989247311827957,186,,,safety_short_gate
gate_arm_by_domain,physical_infrastructure_environment,150,0,0,0.0,150,1.0,1.0,150,,,safety_short_gate
gate_arm_by_domain,business_organizations,197,137,110,0.5583756345177665,60,0.8629441624365483,0.30456852791878175,189,,,standard_gate
gate_arm_by_domain,digital_information_systems,235,78,42,0.17872340425531916,157,0.8468085106382979,0.6680851063829787,235,,,standard_gate
gate_arm_by_domain,finance_markets,108,44,34,0.3148148148148148,64,0.9074074074074074,0.5925925925925926,108,,,standard_gate
gate_arm_by_domain,governance_law_history,104,59,48,0.46153846153846156,45,0.8942307692307693,0.4326923076923077,100,,,standard_gate
gate_arm_by_domain,health_biomedicine,190,67,42,0.22105263157894736,123,0.868421052631579,0.6473684210526316,189,,,standard_gate
gate_arm_by_domain,physical_infrastructure_environment,159,69,52,0.3270440251572327,90,0.8930817610062893,0.5660377358490566,159,,,standard_gate
